estudiante_id,carrera_id,fecha_insc,fecha_grad
100170,3,2004-11-23 08:15:00,2008-06-12 19:07:00
100854,20,2006-08-15 23:47:00,2009-05-11 23:47:00
100363,1,2006-08-03 23:31:00,2009-04-29 23:31:00
100307,11,2003-01-21 09:23:00,
100443,8,2007-05-20 21:19:00,2010-09-02 04:35:00
100233,16,2001-08-03 10:15:00,2004-04-29 10:15:00
100181,14,2008-12-04 21:11:00,2011-08-31 21:11:00
100895,4,2000-09-22 20:09:00,2003-06-19 20:09:00
100697,13,2008-07-02 21:15:00,
100396,11,2007-07-05 23:56:00,2010-11-15 20:31:00
100343,2,2001-06-02 18:40:00,2004-02-27 18:40:00
100760,16,2002-11-29 09:41:00,2005-08-25 09:41:00
100739,17,2001-01-03 06:09:00,2005-03-21 01:05:00
100498,6,2009-12-18 15:30:00,2012-09-13 15:30:00
100361,9,2008-12-01 00:34:00,2012-09-06 18:10:00
100252,18,2009-11-23 06:53:00,
100765,1,2003-05-09 12:29:00,
100421,17,2000-10-20 12:47:00,2003-12-21 06:22:00
100819,13,2005-11-21 14:03:00,
100490,20,2005-05-29 22:41:00,2009-12-06 12:31:00
100570,4,2001-07-10 18:21:00,
100515,5,2009-04-25 14:51:00,2012-07-20 12:38:00
100854,17,2003-07-30 04:31:00,2006-10-14 11:46:00
100867,10,2002-05-31 04:20:00,2007-01-25 03:43:00
100236,8,2005-04-01 12:43:00,2008-07-03 23:43:00
100102,19,2004-01-12 14:41:00,2007-03-18 02:46:00
100706,20,2010-08-07 21:26:00,
100561,4,2008-05-14 16:25:00,2013-02-22 02:10:00
100368,20,2003-09-28 08:32:00,2006-09-17 06:15:00
100694,5,2001-11-23 10:25:00,2005-10-04 17:34:00
100451,6,2003-10-05 04:31:00,
100451,13,2009-12-04 14:41:00,2014-01-27 03:53:00
100760,14,2004-09-14 01:50:00,2007-07-07 20:01:00
100788,1,2004-05-02 02:01:00,2007-01-27 02:01:00
100704,20,2007-11-24 19:16:00,2011-09-03 21:00:00
100855,20,2007-07-08 01:38:00,
100318,5,2010-07-16 08:47:00,2014-10-15 22:52:00
100006,9,2009-01-17 02:53:00,2013-05-02 23:11:00
100381,16,2002-02-26 17:44:00,2006-11-29 08:18:00
100154,6,2008-08-01 18:47:00,
100767,14,2006-05-22 07:59:00,2011-02-21 08:06:00
100052,16,2004-07-05 06:23:00,2007-04-01 06:23:00
100308,2,2001-02-13 08:08:00,2003-11-10 08:08:00
100860,7,2007-04-28 00:10:00,
100682,17,2008-07-14 16:20:00,2013-06-12 10:42:00
100866,5,2009-07-25 10:41:00,2013-05-21 05:12:00
100251,8,2002-05-07 20:00:00,
100847,18,2004-09-18 09:39:00,
100083,15,2007-09-08 06:38:00,2010-06-04 06:38:00
100007,11,2010-05-05 14:04:00,2013-02-15 14:42:00
100112,8,2005-10-19 17:37:00,
100948,8,2002-09-14 12:51:00,
100416,13,2002-02-25 02:42:00,2004-11-21 02:42:00
100171,1,2006-12-21 05:11:00,2009-09-16 05:11:00
100211,19,2004-03-01 10:17:00,2008-06-11 09:00:00
100716,6,2000-12-10 23:14:00,2003-11-28 13:03:00
100797,15,2004-02-23 09:05:00,2006-11-19 09:05:00
100605,15,2007-08-09 05:59:00,2010-05-05 05:59:00
100742,20,2001-03-24 15:14:00,
100702,10,2009-06-02 04:33:00,
100414,19,2009-11-02 16:33:00,
100552,20,2007-07-21 13:26:00,2011-05-21 03:25:00
100589,10,2001-01-08 08:10:00,
100976,3,2000-09-20 01:18:00,2003-11-07 14:15:00
100225,10,2004-03-24 17:30:00,2008-05-31 10:22:00
100104,13,2006-04-15 07:35:00,2009-01-09 07:35:00
100665,12,2002-04-11 02:36:00,2005-01-05 02:36:00
100503,13,2007-05-08 06:15:00,2010-08-26 08:17:00
100312,2,2003-03-24 19:16:00,2006-07-27 16:37:00
100443,7,2003-10-22 00:57:00,2007-05-01 21:20:00
100351,17,2005-09-04 04:34:00,
100188,19,2008-05-16 09:31:00,2011-11-07 09:51:00
100083,15,2003-10-01 20:51:00,2008-05-12 13:20:00
100274,1,2006-09-06 23:24:00,2010-01-27 09:26:00
100015,12,2004-07-19 03:30:00,
100801,5,2003-07-21 06:54:00,2006-04-16 06:54:00
100288,2,2001-06-26 20:23:00,2004-07-11 13:12:00
100158,1,2001-06-12 10:25:00,2005-10-06 04:34:00
100492,5,2005-06-21 09:22:00,2008-03-17 09:22:00
100474,4,2001-04-18 23:23:00,2004-09-11 06:28:00
100371,15,2008-05-09 13:47:00,2013-02-28 12:12:00
100820,2,2004-10-29 11:30:00,2008-02-26 06:32:00
100425,6,2006-05-01 20:34:00,2009-01-25 20:34:00
100197,16,2004-08-29 15:58:00,2009-02-03 18:17:00
100287,5,2009-07-13 18:17:00,2013-01-20 00:20:00
100611,7,2007-01-14 12:29:00,2009-10-10 12:29:00
100036,11,2007-05-10 20:35:00,2010-02-03 20:35:00
100868,15,2007-05-31 05:17:00,
100674,7,2007-06-26 20:11:00,2011-05-05 20:36:00
100544,9,2007-11-20 11:58:00,2011-12-10 02:58:00
100903,6,2007-06-11 14:21:00,
100195,20,2009-05-24 18:34:00,
100900,1,2000-10-28 10:01:00,2003-12-13 10:41:00
100011,4,2003-05-01 05:11:00,
100600,16,2003-10-16 09:38:00,
100974,6,2001-09-03 02:21:00,2006-03-03 15:11:00
100912,11,2007-02-21 00:26:00,
100670,16,2008-09-04 23:13:00,2013-07-22 18:39:00
100481,16,2005-11-01 06:57:00,
100724,17,2003-12-30 01:02:00,2006-09-25 01:02:00
100255,15,2006-11-20 05:46:00,2009-08-16 05:46:00
100223,12,2004-05-28 01:57:00,2007-08-31 11:53:00
100437,2,2007-10-07 16:26:00,
100844,20,2007-11-24 00:45:00,
100569,2,2007-06-15 18:35:00,2010-10-11 22:44:00
100691,14,2003-06-11 12:48:00,2007-11-14 14:10:00
100894,19,2001-10-15 11:59:00,2006-09-25 09:04:00
100066,20,2004-02-23 11:52:00,2006-11-19 11:52:00
100146,11,2005-11-09 04:24:00,2008-10-29 13:21:00
100100,19,2000-10-12 17:11:00,
100129,18,2006-01-20 14:01:00,
100156,12,2010-05-12 17:18:00,
100020,11,2008-03-04 06:25:00,2010-11-29 06:25:00
100894,15,2002-09-28 18:47:00,
100846,20,2005-10-29 20:22:00,2008-07-25 20:22:00
100321,12,2003-08-04 02:33:00,2006-08-04 05:42:00
100431,7,2002-04-01 18:29:00,
100732,5,2006-12-12 11:25:00,2011-03-23 10:43:00
100215,17,2005-01-19 15:54:00,2008-04-29 15:00:00
100641,10,2009-01-01 06:11:00,2011-09-28 06:11:00
100558,12,2004-04-02 21:47:00,2006-12-28 21:47:00
100546,5,2003-11-01 16:43:00,2008-03-22 13:52:00
100586,14,2003-05-12 23:59:00,2006-02-05 23:59:00
100235,4,2003-11-14 19:43:00,
100827,17,2004-11-09 05:00:00,2008-05-10 20:56:00
100706,3,2008-05-28 14:33:00,2011-02-22 14:33:00
100816,7,2008-12-21 23:22:00,2013-11-01 04:34:00
100401,7,2001-09-23 01:18:00,2004-06-19 01:18:00
100904,19,2005-12-30 22:17:00,2008-09-25 22:17:00
100261,5,2008-04-12 10:47:00,2013-03-23 09:23:00
100368,9,2010-09-07 01:20:00,2014-01-13 14:50:00
100070,18,2007-06-06 12:47:00,
100522,7,2001-12-03 09:33:00,
100393,6,2010-06-01 15:06:00,
100454,13,2010-06-08 06:17:00,
100205,18,2003-10-28 22:54:00,2006-07-24 22:54:00
100263,9,2010-05-06 13:00:00,
100744,15,2001-05-29 02:44:00,
100285,3,2005-04-01 00:44:00,2007-12-27 00:44:00
100006,13,2003-04-20 19:13:00,
100879,2,2007-11-19 17:39:00,2010-08-15 17:39:00
100834,12,2004-12-17 01:35:00,
100239,14,2010-05-04 14:48:00,
100567,15,2005-03-09 16:18:00,
100150,12,2001-04-23 19:02:00,
100405,19,2003-12-22 07:42:00,
100594,20,2008-09-04 19:33:00,
100234,19,2002-06-27 20:30:00,2006-06-20 13:31:00
100611,13,2001-11-23 21:40:00,
100978,16,2002-12-02 22:05:00,
100876,16,2007-04-19 01:11:00,2011-05-29 17:45:00
100415,12,2002-08-09 16:58:00,2005-05-05 16:58:00
100817,4,2004-10-04 22:03:00,2007-07-01 22:03:00
100063,4,2006-01-25 22:25:00,2008-10-21 22:25:00
100680,6,2010-09-07 07:20:00,
100803,16,2006-06-01 21:05:00,2009-02-25 21:05:00
100864,4,2001-04-21 13:51:00,
100340,5,2001-03-19 01:57:00,
100965,6,2001-06-01 13:47:00,2005-05-05 10:44:00
100471,6,2009-06-21 23:39:00,2012-03-17 23:39:00
100571,10,2004-07-20 03:51:00,2008-09-01 03:30:00
100439,5,2007-09-12 19:27:00,
100963,19,2005-09-23 11:56:00,
100930,13,2009-02-06 09:23:00,2011-11-03 09:23:00
100674,19,2004-08-13 21:27:00,2007-05-10 21:27:00
100511,18,2007-04-16 04:38:00,2010-01-10 04:38:00
100351,16,2002-03-29 14:22:00,2005-08-03 02:51:00
100802,4,2005-04-30 03:07:00,2008-01-25 03:07:00
100058,6,2002-01-22 01:05:00,2004-10-18 01:05:00
100202,10,2005-06-02 18:34:00,2008-02-27 18:34:00
100867,14,2001-03-06 01:54:00,
100936,9,2005-04-08 23:18:00,2009-07-10 16:38:00
100582,3,2007-12-26 19:22:00,2012-08-20 16:07:00
100739,17,2007-04-11 01:48:00,2010-01-05 01:48:00
100650,5,2008-03-01 16:52:00,2012-09-01 23:51:00
100191,13,2001-07-18 10:15:00,
100444,16,2010-04-05 01:12:00,2012-12-30 01:12:00
100717,14,2006-05-29 21:19:00,
100802,14,2004-09-06 05:41:00,2007-06-03 05:41:00
100989,17,2009-01-03 03:36:00,2012-05-22 09:57:00
100037,18,2007-09-25 05:02:00,2010-06-21 05:02:00
100481,19,2003-04-08 12:41:00,2008-01-02 16:36:00
100686,9,2002-05-19 01:44:00,2007-04-13 04:21:00
100074,17,2009-09-06 13:40:00,
100869,13,2004-11-21 16:39:00,2007-08-18 16:39:00
100421,20,2001-10-07 11:37:00,2004-07-03 11:37:00
100243,15,2004-08-02 20:21:00,2008-12-06 18:59:00
100297,15,2010-09-19 14:47:00,2013-06-15 14:47:00
100711,17,2007-03-27 15:50:00,2009-12-21 15:50:00
100757,11,2001-06-13 21:29:00,2004-03-09 21:29:00
100558,14,2001-12-05 10:12:00,2004-08-31 10:12:00
100901,12,2002-06-06 15:35:00,
100779,11,2005-06-26 00:19:00,
100477,7,2003-04-02 07:04:00,
100793,18,2001-07-11 23:56:00,2006-07-02 09:13:00
100631,10,2009-11-03 23:32:00,
100030,15,2010-07-11 13:09:00,2014-01-27 12:49:00
100878,9,2008-07-26 21:04:00,
100225,15,2007-09-08 12:58:00,
100808,18,2004-11-04 20:06:00,2007-08-01 20:06:00
100935,18,2006-07-12 18:59:00,2009-04-07 18:59:00
100578,4,2007-10-05 05:59:00,2010-07-01 05:59:00
100982,4,2000-10-06 04:15:00,2003-12-06 13:07:00
100618,19,2001-12-21 09:46:00,
100932,16,2009-07-19 01:03:00,
100139,4,2008-08-14 12:56:00,2012-12-01 06:54:00
100356,5,2001-01-20 01:05:00,2003-10-17 01:05:00
100603,2,2001-07-21 20:42:00,
100421,20,2003-02-06 07:34:00,2005-11-02 07:34:00
100068,20,2007-10-14 05:51:00,
100054,14,2005-07-17 09:33:00,2008-04-12 09:33:00
100912,20,2010-03-27 17:46:00,2013-01-05 19:25:00
100185,17,2001-02-20 00:12:00,2003-12-19 00:23:00
100489,18,2007-01-27 04:04:00,2010-11-26 06:33:00
100872,2,2007-10-27 02:35:00,
100223,7,2005-09-30 06:26:00,2008-06-26 06:26:00
100295,13,2001-04-04 01:46:00,
100244,18,2003-03-17 14:16:00,2005-12-11 14:16:00
100402,3,2007-11-07 10:28:00,
100144,12,2007-03-22 03:31:00,2011-04-14 02:39:00
100057,1,2004-10-27 18:36:00,
100210,14,2002-06-08 20:23:00,2006-04-03 06:33:00
100660,9,2006-12-29 22:05:00,2009-09-24 22:05:00
100760,20,2006-10-09 12:59:00,
100234,10,2001-08-29 23:07:00,2004-05-25 23:07:00
100099,18,2002-08-13 03:05:00,2005-08-27 06:22:00
100275,2,2002-12-11 22:00:00,2007-03-17 19:44:00
100940,19,2004-11-13 23:40:00,2007-08-10 23:40:00
100757,8,2004-01-30 19:43:00,2007-07-15 21:03:00
100513,9,2009-10-04 11:44:00,2013-01-19 02:19:00
100289,10,2003-10-10 04:12:00,2006-07-06 04:12:00
100420,19,2005-11-11 05:33:00,2010-10-05 04:57:00
100919,2,2008-09-27 07:15:00,2011-07-02 11:12:00
100379,2,2008-04-21 06:13:00,
100083,18,2002-12-02 21:47:00,2005-08-28 21:47:00
100268,3,2004-08-16 22:05:00,2007-05-13 22:05:00
100476,16,2004-04-15 23:02:00,2007-01-10 23:02:00
100013,17,2003-01-21 13:13:00,2005-10-17 13:13:00
100532,3,2010-09-01 04:59:00,
100768,10,2004-04-30 17:46:00,2009-04-06 08:47:00
100588,3,2000-10-25 04:57:00,2005-09-15 07:23:00
100332,19,2009-06-25 18:02:00,2013-06-29 07:10:00
100316,18,2006-05-07 05:37:00,2009-01-31 05:37:00
100944,6,2004-07-05 06:03:00,
100039,4,2004-07-30 17:31:00,2007-04-26 17:31:00
100285,8,2003-03-16 12:48:00,2005-12-10 12:48:00
100691,17,2002-02-22 16:18:00,
100566,17,2004-08-19 10:24:00,
100794,12,2009-02-02 15:33:00,2011-10-30 15:33:00
100367,17,2009-08-28 09:08:00,2012-05-24 09:08:00
100562,5,2007-05-04 06:09:00,2010-07-26 21:53:00
100469,12,2002-01-10 20:07:00,2006-06-30 18:07:00
100916,18,2007-05-02 04:58:00,2010-01-26 04:58:00
100359,11,2006-05-06 05:14:00,2011-03-17 08:25:00
100020,1,2003-06-06 12:58:00,2006-09-04 08:16:00
100738,15,2006-04-14 04:28:00,2009-01-08 04:28:00
100596,16,2003-10-20 19:16:00,2006-07-16 19:16:00
100451,14,2006-02-28 06:04:00,
100742,11,2002-05-08 10:50:00,2005-02-01 10:50:00
100179,7,2004-12-05 10:40:00,2007-09-01 10:40:00
100837,17,2006-12-29 11:15:00,
100608,3,2000-12-01 02:31:00,
100582,7,2004-11-01 03:06:00,2007-07-29 03:06:00
100038,18,2002-07-17 09:41:00,2005-04-12 09:41:00
100483,20,2006-03-17 16:36:00,2010-01-01 10:14:00
100289,12,2003-01-22 19:48:00,
100033,7,2006-08-07 05:37:00,
100133,4,2007-06-21 15:43:00,2010-03-17 15:43:00
100198,12,2007-12-12 16:17:00,2010-09-07 16:17:00
100074,2,2009-05-17 04:46:00,
100113,6,2004-09-06 19:25:00,2007-12-01 18:58:00
100374,2,2003-08-26 12:09:00,
100714,3,2004-07-24 03:02:00,
100638,14,2005-12-05 11:45:00,2009-05-07 06:11:00
100134,11,2002-10-13 17:39:00,2007-01-31 08:30:00
100059,9,2010-01-08 13:06:00,
100977,12,2002-11-13 02:15:00,2006-08-17 08:51:00
100986,17,2009-04-19 08:23:00,2013-01-04 14:32:00
100937,11,2000-12-14 13:49:00,2003-11-19 22:48:00
100640,16,2009-08-18 09:12:00,2012-11-02 05:14:00
100900,3,2003-07-17 12:28:00,
100884,20,2007-11-12 16:26:00,2010-08-08 16:26:00
100699,18,2003-02-19 01:45:00,2006-12-10 10:06:00
100913,3,2001-12-03 17:51:00,2006-05-18 05:18:00
100883,19,2002-05-15 21:07:00,
100077,20,2001-01-24 12:16:00,2004-04-29 21:33:00
100690,7,2009-09-17 05:27:00,
100580,7,2001-11-29 10:15:00,
100877,9,2001-02-02 04:43:00,
100743,13,2009-07-06 09:38:00,2012-04-01 09:38:00
100001,20,2004-11-04 13:02:00,2009-07-20 01:28:00
100200,1,2001-09-13 06:43:00,
100543,2,2010-07-10 14:16:00,2014-10-07 02:08:00
100573,3,2010-08-26 23:03:00,2013-05-22 23:03:00
100086,7,2003-03-22 06:34:00,
100045,2,2004-09-23 14:12:00,2007-06-20 14:12:00
100149,6,2004-03-14 06:54:00,2007-07-01 06:15:00
100282,6,2003-01-10 19:32:00,2005-10-06 19:32:00
100034,17,2005-12-01 08:27:00,2008-08-27 08:27:00
100083,3,2006-09-30 08:31:00,2010-12-15 21:58:00
100736,11,2004-07-10 23:44:00,
100537,9,2008-12-14 18:20:00,2012-02-13 01:59:00
100702,19,2001-03-11 03:33:00,2006-01-23 00:04:00
100464,4,2001-05-29 05:59:00,2005-10-20 09:27:00
100968,20,2005-06-26 13:37:00,2008-03-22 13:37:00
100260,15,2001-12-11 02:22:00,2004-09-06 02:22:00
100308,17,2006-10-16 17:03:00,2010-06-28 13:39:00
100945,19,2008-05-25 06:50:00,
100153,7,2003-09-19 08:48:00,2006-06-15 08:48:00
100438,14,2002-08-21 08:02:00,
100282,2,2004-06-03 07:17:00,
100102,14,2001-11-18 12:53:00,
100375,12,2005-07-12 07:42:00,2008-04-07 07:42:00
100320,10,2007-08-06 21:04:00,2010-05-02 21:04:00
100805,17,2009-05-16 22:16:00,
100426,16,2005-05-15 14:05:00,2008-02-09 14:05:00
100229,8,2006-06-10 22:43:00,2009-03-06 22:43:00
100258,20,2003-07-23 03:31:00,2006-04-18 03:31:00
100840,10,2001-10-02 10:44:00,
100450,13,2002-09-01 15:44:00,
100180,5,2004-09-25 02:54:00,2008-05-09 20:39:00
100827,3,2009-04-08 00:55:00,2012-01-03 00:55:00
100352,6,2004-02-03 18:47:00,2006-10-30 18:47:00
100967,14,2003-01-21 02:30:00,2005-10-17 02:30:00
100145,9,2006-01-14 17:48:00,
100707,9,2000-11-27 07:58:00,2003-08-24 07:58:00
100862,12,2006-05-24 17:08:00,2009-02-17 17:08:00
100190,10,2000-12-12 00:49:00,2004-01-05 14:54:00
100443,12,2009-12-26 06:37:00,
100732,8,2009-03-10 08:34:00,
100009,17,2001-05-22 02:19:00,2005-02-17 03:24:00
100816,7,2005-10-09 09:32:00,2008-07-05 09:32:00
100365,18,2007-11-17 05:00:00,
100939,13,2004-01-25 02:16:00,2009-01-15 08:52:00
100618,15,2003-07-29 09:27:00,
100440,10,2001-01-14 23:40:00,2004-03-26 10:33:00
100273,4,2002-09-24 14:33:00,2005-06-20 14:33:00
100417,3,2001-03-12 21:04:00,2005-06-01 18:51:00
100988,4,2006-02-24 13:01:00,2008-11-20 13:01:00
100506,12,2002-01-05 06:59:00,
100078,15,2000-11-10 01:21:00,
100586,18,2004-03-06 20:37:00,2006-12-01 20:37:00
100308,17,2005-04-11 13:06:00,2008-11-04 06:55:00
100338,2,2005-04-22 20:49:00,2008-11-25 04:58:00
100979,3,2004-08-25 05:19:00,2007-05-27 03:12:00
100007,5,2007-09-30 12:00:00,
100421,9,2007-06-23 06:43:00,2010-09-21 01:59:00
100391,18,2005-12-27 06:19:00,2010-09-21 23:41:00
100322,12,2009-07-25 14:07:00,2012-04-20 14:07:00
100370,2,2007-05-03 19:16:00,
100507,8,2001-05-03 01:13:00,2004-01-28 01:13:00
100306,10,2009-02-20 10:03:00,
100439,18,2006-07-13 15:02:00,
100836,18,2009-02-17 20:17:00,
100459,10,2010-04-04 07:02:00,2013-07-02 19:11:00
100327,7,2004-01-15 12:21:00,2008-01-27 19:12:00
100316,18,2002-10-22 13:00:00,
100540,10,2010-09-12 06:37:00,2013-11-07 09:15:00
100573,6,2006-05-20 00:28:00,
100923,18,2008-09-16 11:12:00,2011-06-13 11:12:00
100696,19,2008-02-02 02:30:00,
100520,3,2001-07-04 11:14:00,2004-03-30 11:14:00
100667,19,2007-12-23 23:02:00,2010-11-09 00:24:00
100954,3,2007-12-26 21:01:00,
100914,6,2005-07-19 00:11:00,2008-04-14 00:11:00
100583,19,2002-12-26 10:18:00,2006-01-26 22:51:00
100809,3,2006-06-24 20:26:00,2009-03-20 20:26:00
100574,10,2001-03-13 22:11:00,2003-12-08 22:11:00
100917,20,2004-05-11 21:17:00,2007-09-19 19:21:00
100454,15,2006-11-03 22:46:00,2009-07-30 22:46:00
100694,7,2009-08-28 21:08:00,
100623,18,2002-02-22 16:03:00,2004-11-18 16:03:00
100716,3,2001-11-27 21:55:00,
100579,2,2008-12-23 12:29:00,
100535,6,2002-12-16 05:16:00,
100446,6,2006-07-21 16:29:00,
100939,8,2005-09-08 16:33:00,2010-01-05 07:57:00
100042,6,2003-03-22 03:49:00,2007-04-09 00:46:00
100679,17,2004-10-15 16:24:00,2007-07-12 16:24:00
100314,18,2005-07-17 02:48:00,2009-11-22 19:52:00
100086,18,2008-02-09 10:34:00,2011-01-02 04:16:00
100869,11,2007-06-28 20:27:00,2010-03-24 20:27:00
100618,1,2001-05-13 13:45:00,2004-02-07 13:45:00
100965,16,2010-06-06 22:00:00,2013-04-13 19:45:00
100630,11,2001-09-22 03:05:00,2005-08-31 11:29:00
100087,20,2010-05-16 15:07:00,
100559,18,2004-11-26 01:02:00,
100315,2,2010-05-24 11:47:00,2014-08-14 05:58:00
100021,3,2010-09-17 14:36:00,2013-06-13 14:36:00
100080,11,2009-11-26 14:33:00,
100378,12,2008-10-26 15:41:00,
100423,12,2009-12-10 11:41:00,2012-09-05 11:41:00
100573,9,2010-08-14 18:44:00,
100060,2,2001-02-11 02:37:00,2005-05-11 21:40:00
100178,3,2004-09-26 12:44:00,2007-09-21 11:26:00
100098,16,2001-11-04 09:13:00,2004-07-31 09:13:00
100555,20,2002-07-03 06:27:00,2007-02-23 18:06:00
100734,16,2004-12-22 09:12:00,
100689,13,2009-02-25 05:58:00,2013-05-19 09:29:00
100834,12,2008-04-09 18:38:00,2011-01-04 18:38:00
100348,10,2007-01-31 16:10:00,2009-10-27 16:10:00
100687,19,2009-04-21 10:10:00,2012-01-16 10:10:00
100861,12,2010-08-12 19:52:00,2013-05-08 19:52:00
100060,1,2000-09-24 11:29:00,
100229,4,2007-04-28 20:57:00,
100226,15,2003-09-19 23:50:00,2006-06-15 23:50:00
100294,8,2006-05-02 09:58:00,2009-01-26 09:58:00
100086,3,2004-09-19 08:55:00,
100373,12,2003-09-02 11:47:00,2007-03-20 21:43:00
100488,5,2006-08-08 23:11:00,2009-05-04 23:11:00
100683,18,2000-11-03 19:30:00,2003-07-31 19:30:00
100689,3,2005-02-11 04:32:00,
100201,15,2001-10-31 12:19:00,2004-07-27 12:19:00
100586,5,2001-07-09 18:13:00,2005-03-04 18:27:00
100302,1,2009-06-21 21:42:00,2012-03-17 21:42:00
100002,17,2007-03-29 16:05:00,
100628,16,2008-01-18 23:19:00,
100918,6,2001-04-21 22:15:00,
100949,19,2008-02-13 00:36:00,2010-11-09 00:36:00
100397,9,2007-01-31 07:12:00,
100550,13,2002-09-17 12:32:00,2005-06-13 12:32:00
100286,1,2008-08-29 00:10:00,
100678,2,2008-03-06 13:42:00,2010-12-01 13:42:00
100023,7,2010-05-12 18:42:00,
100322,4,2002-01-11 19:15:00,2004-10-07 19:15:00
100907,13,2001-05-18 07:45:00,2004-02-12 07:45:00
100744,6,2001-07-17 04:38:00,2004-04-12 04:38:00
100777,6,2003-02-24 23:23:00,2005-11-20 23:23:00
100767,14,2002-09-01 16:12:00,
100511,17,2004-10-13 17:36:00,
100563,2,2004-07-08 23:58:00,2008-09-03 13:46:00
100700,14,2005-08-06 02:50:00,2010-04-03 18:47:00
100772,3,2008-05-20 15:11:00,2011-02-14 15:11:00
100806,17,2005-05-04 16:29:00,
100838,15,2000-12-03 12:16:00,2004-11-08 07:54:00
100461,17,2008-04-20 00:15:00,2011-11-05 14:23:00
100491,18,2001-09-07 06:46:00,2004-06-03 06:46:00
100091,14,2001-04-26 01:11:00,
100283,16,2009-02-13 02:14:00,
100596,18,2007-06-07 08:48:00,2011-03-28 22:06:00
100679,2,2009-06-15 03:16:00,
100839,20,2002-05-18 16:20:00,
100671,6,2006-04-11 18:35:00,
100150,14,2006-01-29 08:43:00,2008-10-25 08:43:00
100624,5,2006-04-24 12:28:00,2009-01-18 12:28:00
100764,4,2001-12-15 05:50:00,2004-09-10 05:50:00
100147,16,2006-06-07 08:03:00,
100727,4,2005-10-30 11:24:00,2010-02-13 03:00:00
100521,6,2006-02-04 23:16:00,
100079,7,2003-10-29 11:26:00,2006-09-12 08:20:00
100346,14,2004-12-08 17:25:00,2008-06-06 05:39:00
100367,15,2010-04-28 18:14:00,2013-01-22 18:14:00
100852,10,2010-05-05 19:26:00,
100073,8,2004-05-23 09:04:00,2007-02-17 09:04:00
100755,19,2001-12-24 15:40:00,2004-09-19 15:40:00
